url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Tata-nexon-creative-plus-s-cars-New-Delhi_b9998978-13be-484a-b426-ae40d0d7fa85.htm?adId=15159&adType=41,2024 Tata Nexon Creative Plus S,₹9.97 Lakh,2024,-,Petrol,5 Seats,"10,000 Kms",First Owner,1199 cc,Manual,2024
,2022 Kia Sonet HTX Plus Turbo iMT DT,₹8.50 LakhMake Your Offer,Feb 2022,Comprehensive,Petrol,5 Seats,"28,000 Kms",First Owner,998 cc,Manual,2022
,2018 Tata Hexa XTA,₹7.25 LakhMake Your Offer,Mar 2018,Comprehensive,Diesel,7 Seats,"82,000 Kms",First Owner,2179 cc,Automatic,2018
,2020 Kia Seltos HTX IVT G,₹9.50 Lakh,2020,Zero Dep,Petrol,5 Seats,"90,000 Kms",First Owner,1497 cc,Automatic,2020
,2019 Hyundai Creta 1.4 E Plus,₹7.35 LakhMake Your Offer,May 2019,-,Diesel,5 Seats,"70,000 Kms",First Owner,1396 cc,Manual,2019
,2018 Hyundai Verna VTVT 1.6 SX Option,₹7 Lakh,2018,Comprehensive,Petrol,5 Seats,"29,000 Kms",Second Owner,1591 cc,Manual,2018
,2025 Maruti Eeco 5 Seater AC CNG,₹6.25 Lakh,2025,Zero Dep,CNG,5 Seats,"6,890 Kms",First Owner,1197 cc,Manual,2025
,2022 Tata Nexon XM S BSVI,₹6.90 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"39,000 Kms",First Owner,1199 cc,Manual,2022
,2018 Jeep Compass 2.0 Limited 4X4,₹8.25 LakhMake Your Offer,Jun 2018,-,Diesel,5 Seats,"79,500 Kms",Second Owner,1956 cc,Manual,2018
,2019 Hyundai Creta 1.6 SX Automatic,₹7.50 LakhMake Your Offer,Jan 2019,-,Petrol,5 Seats,"70,000 Kms",Second Owner,1591 cc,Automatic,2019
,2018 Hyundai Creta 1.6 VTVT AT SX Plus,₹8.75 LakhMake Your Offer,Jan 2018,-,Petrol,5 Seats,"69,000 Kms",First Owner,1591 cc,Automatic,2018
,2017 Mahindra XUV500 AT W10 FWD,₹6.30 Lakh,2017,Third Party,Diesel,7 Seats,"94,500 Kms",Second Owner,2179 cc,Automatic,2017
,2020 MG Hector Sharp DCT,₹9.25 LakhMake Your Offer,Jan 2021,Comprehensive,Petrol,5 Seats,"81,000 Kms",Second Owner,1451 cc,Automatic,2020
,2019 Honda City i-DTEC V,₹6.47 LakhMake Your Offer,Jan 2019,-,Diesel,5 Seats,"69,000 Kms",Second Owner,1498 cc,Manual,2019
,2023 Hyundai Grand i10 Nios Sportz,₹6.75 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"22,000 Kms",First Owner,1197 cc,Manual,2023
,2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹7.90 LakhMake Your Offer,Jun 2019,Comprehensive,Petrol,5 Seats,"35,000 Kms",First Owner,998 cc,Automatic,2019
,2019 Maruti Ciaz Zeta Automatic BSIV,₹6.45 LakhMake Your Offer,Jan 2019,Comprehensive,Petrol,5 Seats,"5,900 Kms",First Owner,1462 cc,Automatic,2019
,2018 Hyundai Creta 1.6 CRDi SX,₹7.65 LakhMake Your Offer,Dec 2018,Zero Dep,Diesel,5 Seats,"70,000 Kms",First Owner,1582 cc,Manual,2018
,2019 Hyundai Verna VTVT 1.6 AT SX Plus,₹8.49 Lakh,2019,-,Petrol,5 Seats,"30,000 Kms",Second Owner,1591 cc,Automatic,2019
,2019 Toyota Yaris J CVT,₹6.60 LakhMake Your Offer,Jun 2019,-,Petrol,5 Seats,"68,000 Kms",First Owner,1496 cc,Automatic,2019
,2019 MG Hector Sharp Diesel MT BSIV,₹8 LakhMake Your Offer,Nov 2019,-,Diesel,5 Seats,"56,000 Kms",First Owner,1956 cc,Manual,2019
,2021 Kia Sonet HTK Plus Diesel BSVI,₹8.10 LakhMake Your Offer,Jul 2021,Comprehensive,Diesel,5 Seats,"50,000 Kms",First Owner,1493 cc,Manual,2021
,2022 Kia Sonet HTK Plus BSVI,₹7.75 LakhMake Your Offer,Aug 2022,Comprehensive,Petrol,5 Seats,"35,000 Kms",First Owner,1197 cc,Manual,2022
,2016 Hyundai Creta 1.6 VTVT S,₹6.75 LakhMake Your Offer,May 2016,Comprehensive,Petrol,5 Seats,"64,000 Kms",First Owner,1591 cc,Manual,2016
,2022 Toyota Urban cruiser Mid,₹7 Lakh,2022,-,Petrol,5 Seats,"80,000 Kms",First Owner,1462 cc,Manual,2022
,2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹7.49 LakhMake Your Offer,Jun 2017,-,Petrol,5 Seats,"72,000 Kms",First Owner,1591 cc,Automatic,2017
,2016 Hyundai Creta 1.6 VTVT AT SX Plus,₹6.25 LakhMake Your Offer,Oct 2016,-,Petrol,5 Seats,"54,200 Kms",First Owner,1591 cc,Automatic,2016
,2018 Honda City i-VTEC CVT VX,₹6.95 LakhMake Your Offer,Jul 2018,-,Petrol,5 Seats,"70,000 Kms",First Owner,1497 cc,Automatic,2018
,2019 Hyundai Venue SX Opt Turbo BSIV,₹6.85 LakhMake Your Offer,May 2019,Comprehensive,Petrol,5 Seats,"38,000 Kms",First Owner,998 cc,Manual,2019
,2020 MG Hector Sharp Diesel MT,₹9.75 LakhMake Your Offer,Jun 2020,Zero Dep,Diesel,5 Seats,"85,000 Kms",First Owner,1956 cc,Manual,2020
,2021 Maruti XL6 Zeta,₹8.25 LakhMake Your Offer,Sept 2021,Comprehensive,Petrol,6 Seats,"56,000 Kms",First Owner,1462 cc,Manual,2021
,2017 Hyundai Creta 1.4 E Plus CRDi,₹6.25 LakhMake Your Offer,Jul 2017,-,Diesel,5 Seats,"1,50,000 Kms",First Owner,1396 cc,Manual,2017
,2017 Hyundai Creta 1.6 CRDi AT SX Plus,₹6.99 LakhMake Your Offer,May 2017,-,Diesel,5 Seats,"85,000 Kms",Second Owner,1582 cc,Automatic,2017
,2019 MG Hector Hybrid Sharp MT BSIV,₹8.75 LakhMake Your Offer,Aug 2019,Comprehensive,Petrol,5 Seats,"59,000 Kms",First Owner,1451 cc,Manual,2019
,2022 Honda City V CVT,₹9.97 LakhMake Your Offer,Mar 2022,Comprehensive,Petrol,5 Seats,"34,000 Kms",First Owner,1498 cc,Automatic,2022
,2022 Tata Nexon XM S BSVI,₹6.90 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"47,000 Kms",First Owner,1199 cc,Manual,2022
,2019 Maruti Ertiga VDI,₹7.50 Lakh,2019,Zero Dep,Diesel,7 Seats,"2,00,000 Kms",First Owner,1248 cc,Manual,2019
,2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹6.99 LakhMake Your Offer,Sept 2017,-,Petrol,5 Seats,"82,000 Kms",First Owner,1591 cc,Automatic,2017
,2017 Tata Hexa XM,₹6.25 LakhMake Your Offer,Jan 2017,-,Diesel,7 Seats,"95,000 Kms",Second Owner,2179 cc,Manual,2017
,2022 Kia Sonet HTX Turbo DCT Anniversary Edition,₹9.90 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"28,000 Kms",First Owner,998 cc,Automatic,2022
,2018 Hyundai Creta 1.6 VTVT SX Plus,₹7.71 LakhMake Your Offer,Sept 2018,-,Petrol,5 Seats,"71,000 Kms",First Owner,1591 cc,Manual,2018
,2018 Hyundai Creta 1.6 VTVT AT SX Plus,₹8.90 LakhMake Your Offer,Jan 2018,-,Petrol,5 Seats,"69,000 Kms",First Owner,1591 cc,Automatic,2018
,2019 Kia Seltos GTX,₹8.71 LakhMake Your Offer,Dec 2019,Comprehensive,Petrol,5 Seats,"41,000 Kms",First Owner,1353 cc,Manual,2019
,2018 Hyundai Creta 1.6 E Plus,₹7.90 LakhMake Your Offer,Aug 2018,Comprehensive,Petrol,5 Seats,"51,000 Kms",First Owner,1591 cc,Manual,2018
,2019 Maruti XL6 Alpha,₹7.75 LakhMake Your Offer,Sept 2019,Comprehensive,Petrol,6 Seats,"72,000 Kms",First Owner,1462 cc,Manual,2019
,2018 Hyundai Creta 1.6 VTVT AT SX Plus,₹9.50 LakhMake Your Offer,Jan 2018,-,Petrol,5 Seats,"58,000 Kms",First Owner,1591 cc,Automatic,2018
,2019 Hyundai Venue S Turbo DCT BSIV,₹7.11 LakhMake Your Offer,Oct 2019,Comprehensive,Petrol,5 Seats,"65,000 Kms",First Owner,998 cc,Automatic,2019
,2019 Honda City i-VTEC CVT ZX,₹7.90 LakhMake Your Offer,May 2019,-,Petrol,5 Seats,"55,000 Kms",First Owner,1497 cc,Automatic,2019
,2020 Kia Sonet HTK Plus BSVI,₹6.50 LakhMake Your Offer,Dec 2020,Comprehensive,Petrol,5 Seats,"78,000 Kms",First Owner,1197 cc,Manual,2020
,2020 Hyundai Creta 1.6 EX Petrol,₹8.99 LakhMake Your Offer,Aug 2020,Zero Dep,Petrol,5 Seats,"59,000 Kms",First Owner,1591 cc,Manual,2020
,2022 Hyundai i20 Asta Turbo DCT,₹9.15 LakhMake Your Offer,Mar 2022,Comprehensive,Petrol,5 Seats,"42,000 Kms",First Owner,998 cc,Automatic,2022
,2019 Hyundai Creta 1.6 SX Automatic,₹7.40 LakhMake Your Offer,Jun 2019,Comprehensive,Petrol,5 Seats,"78,000 Kms",Second Owner,1591 cc,Automatic,2019
,2017 Tata Hexa XTA,₹6.50 LakhMake Your Offer,Jan 2017,-,Diesel,7 Seats,"95,000 Kms",Second Owner,2179 cc,Automatic,2017
,2021 Hyundai Verna SX IVT,₹9.25 Lakh,2021,-,Petrol,5 Seats,"26,700 Kms",First Owner,1497 cc,Automatic,2021
,2019 Maruti Ertiga ZXI AT,₹7.50 LakhMake Your Offer,Jul 2019,-,Petrol,7 Seats,"60,000 Kms",First Owner,1462 cc,Automatic,2019
,2021 Maruti XL6 Zeta,₹8.99 LakhMake Your Offer,Jun 2021,Comprehensive,Petrol,6 Seats,"18,006 Kms",First Owner,1462 cc,Manual,2021
,2022 Kia Sonet HTX Turbo iMT Anniversary Edition,₹8 Lakh,2022,-,Petrol,5 Seats,"16,200 Kms",First Owner,998 cc,Automatic,2022
,2011 Audi A6 2.8 FSI,₹6.50 LakhMake Your Offer,Jul 2011,-,Petrol,5 Seats,"69,000 Kms",Third Owner,2773 cc,Automatic,2011
,2012 Mercedes-Benz E-Class E 200 CGI Avantgarde,₹6.25 Lakh,2012,Comprehensive,Petrol,5 Seats,"34,000 Kms",First Owner,1796 cc,Automatic,2012
,2021 Mahindra XUV500 W7,₹10 Lakh,2021,-,Diesel,7 Seats,"30,000 Kms",First Owner,2179 cc,Manual,2021
,2025 Toyota Taisor S Plus AMT,₹9 Lakh,2025,-,Petrol,5 Seats,250 Kms,First Owner,1197 cc,Automatic,2025
,2021 Kia Sonet HTX Diesel BSVI,₹8.90 LakhMake Your Offer,Feb 2021,Comprehensive,Diesel,5 Seats,"41,000 Kms",First Owner,1493 cc,Manual,2021
,2022 Tata Nexon XZ Plus Dark Edition BSVI,₹8.50 Lakh,2022,-,Petrol,5 Seats,"80,000 Kms",First Owner,1199 cc,Manual,2022
,2022 Tata Nexon XZ Plus BSVI,₹8.50 LakhMake Your Offer,Mar 2022,Comprehensive,Petrol,5 Seats,"29,347 Kms",Second Owner,1199 cc,Manual,2022
,2018 Hyundai Creta 1.6 SX,₹7.75 LakhMake Your Offer,Dec 2018,-,Petrol,5 Seats,"81,000 Kms",First Owner,1591 cc,Manual,2018
,2023 Kia Seltos HTE G,₹9.60 Lakh,2023,-,Petrol,5 Seats,"10,000 Kms",First Owner,1497 cc,Manual,2023
,2018 Toyota Yaris G CVT BSIV,₹6.60 LakhMake Your Offer,Jan 2019,-,Petrol,5 Seats,"77,000 Kms",First Owner,1496 cc,Automatic,2018
,2018 Skoda Octavia 2.0 TDI AT L K,₹10 Lakh,2018,-,Diesel,5 Seats,"79,000 Kms",First Owner,1968 cc,Automatic,2018
,2023 Kia Carens Prestige,₹10 Lakh,2023,-,Petrol,7 Seats,"50,000 Kms",First Owner,1497 cc,Manual,2023
,2020 Skoda Octavia 1.8 TSI AT Style,₹8.50 Lakh,2020,Zero Dep,Petrol,5 Seats,"1,00,000 Kms",First Owner,1798 cc,Automatic,2020
,2022 Tata Nexon XM Plus S BSVI,₹6.85 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"39,000 Kms",First Owner,1199 cc,Manual,2022
,2018 Hyundai Creta 1.4 E Plus CRDi,₹6.50 Lakh,2018,Zero Dep,Diesel,5 Seats,"28,000 Kms",First Owner,1396 cc,Manual,2018
,2024 Mahindra Bolero Neo N8,₹8.49 LakhMake Your Offer,Apr 2024,Comprehensive,Diesel,7 Seats,"16,000 Kms",First Owner,1493 cc,Manual,2024
,2020 Kia Sonet GTX Plus Turbo DCT DT,₹9.75 LakhMake Your Offer,Oct 2020,Comprehensive,Petrol,5 Seats,"57,000 Kms",First Owner,998 cc,Automatic,2020
,2023 Tata Nexon XZA Plus LUXS Red Dark AMT,₹8.90 Lakh,2023,-,Petrol,5 Seats,"20,000 Kms",First Owner,1199 cc,Automatic,2023
,2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹6.60 Lakh,2019,Zero Dep,Petrol,5 Seats,"60,000 Kms",First Owner,998 cc,Automatic,2019
,2021 Maruti Vitara Brezza ZXI Plus,₹6.99 LakhMake Your Offer,Oct 2021,-,Petrol,5 Seats,"50,000 Kms",First Owner,1462 cc,Manual,2021
,2022 Hyundai i20 N-Line N8 DCT BSVI,₹8.75 LakhMake Your Offer,Nov 2022,Comprehensive,Petrol,5 Seats,"37,000 Kms",First Owner,998 cc,Automatic,2022
,2018 Honda City i-VTEC CVT ZX,₹7.90 LakhMake Your Offer,Jun 2018,Comprehensive,Petrol,5 Seats,"61,087 Kms",Second Owner,1497 cc,Automatic,2018
,2021 Maruti XL6 Zeta,₹9.50 LakhMake Your Offer,Aug 2021,Comprehensive,Petrol,6 Seats,"21,000 Kms",First Owner,1462 cc,Manual,2021
,2021 Tata Nexon XM Diesel BSVI,₹6.75 LakhMake Your Offer,Jan 2021,-,Diesel,5 Seats,"68,000 Kms",First Owner,1497 cc,Manual,2021
,2019 Hyundai Creta 1.6 SX Automatic,₹8.75 LakhMake Your Offer,Apr 2019,Third Party,Petrol,5 Seats,"55,000 Kms",Second Owner,1591 cc,Automatic,2019
,2018 Jeep Compass 2.0 Sport,₹7.92 LakhMake Your Offer,Oct 2018,Comprehensive,Diesel,5 Seats,"37,000 Kms",First Owner,1956 cc,Manual,2018
,2017 Hyundai Creta 1.6 VTVT SX Plus,₹6.20 LakhMake Your Offer,Nov 2017,-,Petrol,5 Seats,"75,045 Kms",First Owner,1591 cc,Manual,2017
,2020 Hyundai Creta 1.6 SX,₹9 LakhMake Your Offer,Sept 2020,Comprehensive,Petrol,5 Seats,"64,000 Kms",Second Owner,1591 cc,Manual,2020
,2022 Hyundai Creta E Diesel BSVI,₹9.50 LakhMake Your Offer,Jan 2022,Comprehensive,Diesel,5 Seats,"48,003 Kms",First Owner,1493 cc,Manual,2022
,2022 Maruti Baleno Alpha BSVI,₹7.50 Lakh,2022,Comprehensive,Petrol,5 Seats,"20,900 Kms",First Owner,1197 cc,Manual,2022
,2020 Hyundai i20 Asta Turbo DCT DT,₹8 Lakh,2020,-,Petrol,5 Seats,"50,000 Kms",Second Owner,998 cc,Automatic,2020
,2019 Kia Seltos HTK Diesel,₹7.99 LakhMake Your Offer,Dec 2019,Comprehensive,Diesel,5 Seats,"1,23,000 Kms",First Owner,1493 cc,Manual,2019
,2017 Hyundai Creta 1.6 VTVT E Plus,₹6.85 LakhMake Your Offer,Jan 2017,-,Petrol,5 Seats,"34,900 Kms",First Owner,1591 cc,Manual,2017
,2023 Tata Altroz XZA Plus DCT,₹7.55 Lakh,2023,Zero Dep,Petrol,5 Seats,"27,000 Kms",First Owner,1199 cc,Automatic,2023
,2021 Kia Seltos HTK Diesel,₹8.75 Lakh,2021,-,Diesel,5 Seats,"1,00,000 Kms",First Owner,1493 cc,Manual,2021
,2024 Hyundai Venue S 2023-2025,₹9.25 Lakh,2024,Comprehensive,Petrol,5 Seats,"33,000 Kms",First Owner,1197 cc,Manual,2024
,2021 Maruti S Cross Zeta,₹7.30 LakhMake Your Offer,Jan 2021,-,Petrol,5 Seats,"44,000 Kms",First Owner,1462 cc,Manual,2021
,2021 Tata Nexon XZ Plus S 2020-2022,₹7 Lakh,2021,-,Petrol,5 Seats,"50,000 Kms",First Owner,1199 cc,Manual,2021
,2019 Hyundai Creta 1.4 S,₹6.50 Lakh,2019,-,Diesel,5 Seats,"1,60,000 Kms",First Owner,1396 cc,Manual,2019
,2024 Tata Nexon Pure AMT,₹9.49 LakhMake Your Offer,Jul 2024,Zero Dep,Petrol,5 Seats,"5,000 Kms",First Owner,1199 cc,Automatic,2024
,2019 Maruti Vitara Brezza ZDi,₹7.15 Lakh,2019,-,Diesel,5 Seats,"40,000 Kms",First Owner,1248 cc,Manual,2019
,2025 Tata Altroz XZ Plus OS,₹8.70 LakhMake Your Offer,Jul 2025,-,Petrol,5 Seats,100 Kms,,1199 cc,Manual,2025
,2021 Tata Nexon EV XZ Plus,₹7 Lakh,2021,Third Party,Electric,5 Seats,"70,000 Kms",First Owner,,Automatic,2021
,2020 Hyundai Creta 1.6 SX,₹9.85 LakhMake Your Offer,Jul 2020,Comprehensive,Petrol,5 Seats,"68,000 Kms",First Owner,1591 cc,Manual,2020
https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-vtec-s-cars-New-Delhi_0ae96ddf-df83-4873-ba1b-85dcd2be8a33.htm,2017 Honda WR-V i-VTEC S,₹4.25 LakhMake Your Offer,Jul 2017,-,Petrol,5 Seats,"74,000 Kms",First Owner,1199 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Toyota-yaris-g-cvt-bsiv-cars-New-Delhi_0fd12ef2-b7bb-47cc-b426-125a6a2b53f3.htm,2018 Toyota Yaris G CVT BSIV,₹4.99 LakhMake Your Offer,Oct 2018,Comprehensive,Petrol,5 Seats,"75,000 Kms",First Owner,1496 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Ford-freestyle-titanium-plus-diesel-bsiv-cars-New-Delhi_7370fd37-f2c8-4790-ac94-3fbd8f935271.htm?adId=17455&adType=41,2019 Ford Freestyle Titanium Plus Diesel BSIV,₹4.50 LakhMake Your Offer,Apr 2019,Comprehensive,Diesel,5 Seats,"72,000 Kms",First Owner,1498 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Hyundai-santro-xing-gls-cng-cars-New-Delhi_8e0dbd12-7c80-44c2-8e0f-b4a1d8344956.htm,2011 Hyundai Santro Xing GLS CNG,₹1.45 LakhMake Your Offer,Mar 2011,-,CNG,5 Seats,"73,000 Kms",Second Owner,1086 cc,Manual,2011
https://www.cardekho.com/used-car-details/used-Maruti-ignis-12-sigma-bsiv-cars-New-Delhi_4900748b-98af-4f70-9ebd-1034c86de49f.htm,2019 Maruti Ignis 1.2 Sigma BSIV,₹3.65 LakhMake Your Offer,Feb 2019,-,Petrol,5 Seats,"26,000 Kms",First Owner,1197 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Hyundai-i10-era-cars-New-Delhi_a2b704ed-5d06-45ba-bc92-3f6e788bb212.htm?adId=15619&adType=41,2013 Hyundai i10 Era,₹1.40 Lakh,2013,Comprehensive,Petrol,5 Seats,"62,000 Kms",Third Owner,1086 cc,Manual,2013
https://www.cardekho.com/used-car-details/used-Hyundai-i10-sportz-at-cars-New-Delhi_589ca5a0-315b-483e-9814-d6a44a49c578.htm,2012 Hyundai i10 Sportz AT,₹2.52 Lakh,2012,-,Petrol,5 Seats,"60,000 Kms",Second Owner,1197 cc,Automatic,2012
https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-New-Delhi_3b0c449e-e273-407c-beb5-eed54b96f648.htm,2018 Maruti Swift VXI,₹4.50 LakhMake Your Offer,Oct 2018,Comprehensive,Petrol,5 Seats,"46,000 Kms",First Owner,1197 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-titanium-bsiv-cars-New-Delhi_3dd65d11-700b-4792-8bb2-9d35b82e1a7f.htm?adId=17677&adType=41,2019 Ford Ecosport 1.5 Diesel Titanium BSIV,₹4.75 Lakh,2019,-,Diesel,5 Seats,"65,000 Kms",First Owner,1498 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-cvt-delta-cars-New-Delhi_dd2f7140-0dcf-4419-b07f-6c94c0ba612a.htm?adId=14210&adType=41,2016 Maruti Baleno 1.2 CVT Delta,₹3.85 LakhMake Your Offer,Oct 2016,Third Party,Petrol,5 Seats,"65,005 Kms",First Owner,1197 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Tata-tiago-12-revotron-xz-cars-New-Delhi_9222e8fa-46fc-4898-b6fd-44a84966e3e4.htm,2016 Tata Tiago 1.2 Revotron XZ,₹3.25 LakhMake Your Offer,Aug 2016,Comprehensive,Petrol,5 Seats,"65,000 Kms",First Owner,1199 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Hyundai-santro-xing-gls-cars-New-Delhi_f1c9c26a-bee5-433f-9230-094e1f318874.htm?adId=18563&adType=41,2012 Hyundai Santro Xing GLS,₹1.35 Lakh,2012,-,Petrol,5 Seats,"90,000 Kms",First Owner,1086 cc,Manual,2012
https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-i-vtec-cars-New-Delhi_23f0ae10-76e1-4518-a3ed-1de6a9602705.htm?adId=17473&adType=41,2016 Honda Amaze VX i-VTEC,₹3.50 LakhMake Your Offer,Dec 2016,Comprehensive,Petrol,5 Seats,"52,000 Kms",First Owner,1198 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-New-Delhi_9d23a121-1dc5-4d4d-a814-23e38e479414.htm,2017 Maruti Baleno 1.2 Delta,₹4.25 LakhMake Your Offer,Jun 2017,Comprehensive,Petrol,5 Seats,"40,000 Kms",First Owner,1197 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Honda-amaze-s-i-vtech-cars-New-Delhi_ce5a9c95-d518-4d54-95fd-6e32e8605727.htm,2013 Honda Amaze S i-Vtech,₹2.45 LakhMake Your Offer,Nov 2013,Comprehensive,Petrol,5 Seats,"62,157 Kms",First Owner,1198 cc,Manual,2013
https://www.cardekho.com/used-car-details/used-Jeep-compass-14-sport-cars-New-Delhi_314982a1-3da3-4c8a-a6f8-daf5ac66a13a.htm,2018 Jeep Compass 1.4 Sport,₹4.95 LakhMake Your Offer,Jan 2018,Third Party,Petrol,5 Seats,"58,000 Kms",First Owner,1368 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-trendline-cars-New-Delhi_801ec6c3-c7ab-482c-ae76-bc9bc8c090b3.htm,2016 Volkswagen Polo 1.2 MPI Trendline,₹3 LakhMake Your Offer,Jul 2016,Comprehensive,Petrol,5 Seats,"48,678 Kms",First Owner,1198 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-magna-cars-New-Delhi_d8079265-f2ce-471c-86da-792bbede4101.htm,2016 Hyundai Grand i10 Magna,₹3.20 Lakh,2016,-,Petrol,5 Seats,"70,000 Kms",Second Owner,1197 cc,Manual,2016
https://www.cardekho.com/used-car-details/used-Hyundai-i10-magna-cars-New-Delhi_b8c8849a-8409-4079-9e00-b82ec34838b3.htm,2012 Hyundai i10 Magna,₹1.40 LakhMake Your Offer,Jun 2012,Comprehensive,Petrol,5 Seats,"54,000 Kms",Second Owner,1197 cc,Manual,2012
https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-New-Delhi_baf40a7f-70ee-41eb-9bd5-1eb5656aa45e.htm,2018 Maruti Baleno 1.2 Delta,₹4.50 LakhMake Your Offer,Jan 2018,-,Petrol,5 Seats,"49,000 Kms",First Owner,1197 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Honda-city-s-cars-New-Delhi_fd537932-cef9-461b-895b-0a08bc219529.htm,2012 Honda City S,₹2.20 LakhMake Your Offer,Jan 2012,Comprehensive,Petrol,5 Seats,"82,000 Kms",First Owner,1497 cc,Manual,2012
https://www.cardekho.com/used-car-details/used-Citroen-c3-turbo-feel-cars-New-Delhi_8ea2630d-a992-4f1b-ab81-b68c45e4a99c.htm,2023 Citroen C3 Turbo Feel,₹3.99 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,5 Seats,"49,000 Kms",First Owner,1199 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxl-amt-cars-New-Delhi_f8651906-f733-4856-b7cd-3fd99b35906a.htm,2021 Renault KWID 1.0 RXL AMT,₹3.70 LakhMake Your Offer,Jan 2021,Comprehensive,Petrol,5 Seats,"46,000 Kms",First Owner,999 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Hyundai-i10-era-cars-New-Delhi_183e23a1-3d45-457a-bdc2-65a3d0e0a68c.htm?adId=15509&adType=41,2012 Hyundai i10 Era,₹1.65 Lakh,2012,-,Petrol,5 Seats,"51,000 Kms",First Owner,1086 cc,Manual,2012
https://www.cardekho.com/used-car-details/used-Renault-triber-rxt-bsiv-cars-New-Delhi_c7c0b64a-193a-448c-be7a-8a8d897b1b39.htm?adId=14822&adType=41,2019 Renault Triber RXT BSIV,₹3.75 LakhMake Your Offer,Dec 2019,Third Party,Petrol,7 Seats,"60,000 Kms",Second Owner,999 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-zeta-cars-New-Delhi_4f894cee-4b9b-48f8-83d7-45457a1757ff.htm,2017 Maruti Baleno 1.2 Zeta,₹4 LakhMake Your Offer,Jul 2017,-,Petrol,5 Seats,"70,000 Kms",First Owner,1197 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Honda-mobilio-v-i-vtec-cars-New-Delhi_9fc3171e-1b53-499b-955a-467a82348e7c.htm,2015 Honda Mobilio V i-VTEC,₹3.45 LakhMake Your Offer,Dec 2025,Comprehensive,Petrol,7 Seats,"74,000 Kms",First Owner,1497 cc,Manual,2015
https://www.cardekho.com/used-car-details/used-Renault-duster-sandstorm-rxs-85-ps-cars-New-Delhi_6ed4f150-cdd1-4b20-a125-69e53657cb63.htm,2018 Renault Duster SANDSTORM RXS 85 PS,₹4.25 LakhMake Your Offer,Oct 2018,Comprehensive,Diesel,5 Seats,"72,000 Kms",First Owner,1461 cc,Manual,2018
https://www.cardekho.com/used-car-details/used-Honda-amaze-e-petrol-bsiv-cars-New-Delhi_a73372f4-7392-44e4-943a-0b6cc8c63781.htm,2019 Honda Amaze E Petrol BSIV,₹4.65 LakhMake Your Offer,Apr 2019,Comprehensive,Petrol,5 Seats,"48,000 Kms",First Owner,1199 cc,Manual,2019
https://www.cardekho.com/used-car-details/used-Tata-tigor-12-revotron-xt-cars-New-Delhi_a915aad2-136b-4914-a75b-6bd40a7c9833.htm,2017 Tata Tigor 1.2 Revotron XT,₹3.40 LakhMake Your Offer,Sept 2017,Comprehensive,Petrol,5 Seats,"55,000 Kms",First Owner,1199 cc,Manual,2017
https://www.cardekho.com/used-car-details/used-Maruti-celerio-lxi-cars-New-Delhi_2f4c5e89-2f8c-4af3-aa5d-00bc590c2d6c.htm,2016 Maruti Celerio LXI,₹1.95 LakhMake Your Offer,Apr 2016,-,Petrol,5 Seats,"69,000 Kms",Second Owner,998 cc,Manual,2016
